FIPS,year,value
01001,2020-01-01,1568
01003,2020-01-01,61
01005,2020-01-01,3
01007,2020-01-01,1187
01009,2020-01-01,365
01011,2020-01-01,183
01013,2020-01-01,1682
01015,2020-01-01,248
01017,2020-01-01,1561
01019,2020-01-01,220
01021,2020-01-01,42
01023,2020-01-01,1763
01025,2020-01-01,76
01027,2020-01-01,210
01029,2020-01-01,1419
01031,2020-01-01,1510
01033,2020-01-01,1977
01035,2020-01-01,1653
01037,2020-01-01,1092
01039,2020-01-01,84
01041,2020-01-01,997
01043,2020-01-01,53
01045,2020-01-01,776
01047,2020-01-01,1613
01049,2020-01-01,877
01051,2020-01-01,1855
01053,2020-01-01,1052
01055,2020-01-01,278
01057,2020-01-01,1597
01059,2020-01-01,1216
01061,2020-01-01,1551
01063,2020-01-01,1273
01065,2020-01-01,1962
01067,2020-01-01,752
01069,2020-01-01,1264
01071,2020-01-01,1074
01073,2020-01-01,637
01075,2020-01-01,940
01077,2020-01-01,1820
01079,2020-01-01,520
01081,2020-01-01,744
01083,2020-01-01,609
01085,2020-01-01,455
01087,2020-01-01,1685
01089,2020-01-01,626
01091,2020-01-01,570
01093,2020-01-01,1422
01095,2020-01-01,1778
01097,2020-01-01,253
01099,2020-01-01,996
01101,2020-01-01,540
01103,2020-01-01,572
01105,2020-01-01,700
01107,2020-01-01,1663
01109,2020-01-01,823
01111,2020-01-01,735
01113,2020-01-01,54
01115,2020-01-01,772
01117,2020-01-01,2034
01119,2020-01-01,1967
01121,2020-01-01,1754
01123,2020-01-01,1986
01125,2020-01-01,2030
01127,2020-01-01,976
01129,2020-01-01,1589
01131,2020-01-01,1307
01133,2020-01-01,1004
02013,2020-01-01,1903
02016,2020-01-01,1010
02020,2020-01-01,1003
02050,2020-01-01,1571
02060,2020-01-01,1934
02068,2020-01-01,1462
02070,2020-01-01,110
02090,2020-01-01,680
02100,2020-01-01,551
02105,2020-01-01,96
02110,2020-01-01,1952
02122,2020-01-01,590
02130,2020-01-01,1630
02150,2020-01-01,1399
02158,2020-01-01,1213
